(239, 9, 0)
(203, 7, 0)
(243, 8, 0)
(242, 3, 0)
(59, 2, [0])
(49, 4, 0)
(238, 9, 0)
(65, 7, 0)
(236, 1, 0)
(33, 0, 0)
(45, 2, [0])
(186, 13, 0)
(8, 8, 0)
(204, 10, 0)
(256, 4, 0)
(190, 1, 0)
(210, 11, [0])
(38, 2, [0])
(1, 8, 0)
(219, 9, 0)
(0, 4, 0)
(5, 12, 0)
(61, 1, 0)
(197, 7, 0)
(232, 11, [0])
(43, 7, 0)
(174, 7, 0)
(82, 4, 0)
(102, 0, 0)
(264, 2, [0])
(19, 7, 0)
(216, 0, 0)
(217, 1, [0])
(143, 4, 0)
(13, 2, [0])
(198, 11, [0])
(16, 5, [0])
(14, 3, 0)
(67, 9, 0)
(175, 3, 0)
(220, 2, [0])
(241, 7, 0)
(248, 0, 0)
(249, 0, 0)
(253, 3, [0])
(147, 1, [0])
(97, 7, 0)
(47, 5, [0])
(52, 3, [0])
(53, 6, 0)
(48, 7, 0)
(255, 1, [0])
(20, 6, 0)
(35, 1, [0])
(36, 3, [0])
(205, 5, [0])
(66, 9, 0)
(26, 0, 0)
(191, 2, [0])
(207, 2, [0])
(214, 4, 0)
(218, 6, 0)
(37, 1, [0])
(40, 7, 0)
(21, 2, [0])
(39, 8, 0)
(106, 4, 0)
(7, 2, [0])
(9, 3, [0])
(23, 1, [0])
(50, 1, [0])
(206, 8, 0)
(208, 4, 0)
(270, 2, [0])
(86, 3, [0])
(221, 4, 0)
(252, 2, [0])
(260, 2, [0])
(137, 4, 0)
(145, 1, [0])
(251, 5, [0])
(254, 1, [0])
(44, 0, 0)
(75, 0, 0)
(209, 2, [0])
(22, 4, 0)
(24, 5, [0])
(41, 0, 0)
(68, 8, 0)
(250, 5, [0])
(271, 6, 0)
(180, 3, [0])
(200, 0, [0])
(12, 4, 0)
(222, 2, [0])
(259, 0, [0])
(262, 0, [0])
(231, 4, 0)
(224, 2, [0])
(51, 3, [0])
(225, 4, [0])
(272, 4, [0])
(201, 0, [0])
(226, 4, [0])
(54, 3, [0])
(213, 0, [0])
(258, 1, [0])
(108, 1, [0])
(109, 1, [0])
(144, 2, [0])
(223, 4, [0])
(227, 5, [0])
(91, 1, [0])
(228, 2, [0])
(257, 0, [0])
Hard constraints -> 2
Conflicting exams -> 0
Overbooked periods -> 0
Short Periods -> 0
Period constraints -> 2
Room constraints -> 0
Soft constraints -> 111526
Two in a row -> 77004
Two in a day -> 21950
Period spread -> 11342
Mixed durations -> 0
Frontload -> 80
Period penalty -> 1150
Room penalty -> 0
